nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url
BCAA'S INSTANTÁNEO 2:1:1 2.0 150g,,BCAA,4.5,0.15,30.0,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,,2026-04-17,,5.0,30.0,False,['SIN SABOR'],4.65,355.0,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0
Recovery Total 700g,Vitobest,BCAA,23.94,0.7,34.2,Nutritienda,https://www.nutritienda.com/es/vitobest/recovery-total-700g,,2026-04-17,14.22,50.0,14.0,,"['Cola', 'Sandía', 'Vainilla']",4.78,1.0,https://www.nutritienda.com/es/vitobest/recovery-total-700g
BCAA'S INSTANTÁNEO 4:1:1 2.0 150g,,BCAA,5.64,0.15,37.6,HSN,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,,2026-04-17,,5.0,30.0,False,['SIN SABOR'],4.6,298.0,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,,2026-04-17,1.0,,,,['Blackcurrant'],4.69,1.0,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g
BCAA+GLUTAMINE 500g,Ramificados,BCAA,21.3,0.5,42.6,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,,2026-04-17,13.88,15.0,33.0,,"['Naranja', 'Limón', 'Sandía']",4.82,2.0,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,,2026-04-17,,12.0,33.0,,"['Cola', 'Naranja', 'Frutas del Bosque', 'Piña Colada', 'Limón']",4.68,92.0,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,24.16,0.5,48.32,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,,2026-04-17,,10.0,50.0,,"['Limón', 'Piña', 'Tropical']",4.71,1.0,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,26.5,0.5,53.0,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,,2026-04-17,,10.0,50.0,,"['Cola', 'Cereza', 'Piña Colada']",,,
Zero BCAA 300 g,,BCAA,15.9,0.3,53.0,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1475405_prozis_zero-bcaa-300-g_lemon_flavor_21.png,2026-04-17,,,,,"['Limón', 'Manzana verde', 'Mojito']",4.62,1.0,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g
BCAA 2:1:1 300 g,,BCAA,16.99,0.3,56.63,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1470643_prozis_bcaa-211-300-g_1.png,2026-04-17,,,,,"['Neutro', 'Lima-Limón', 'Mango y Melocotón']",4.5,1.0,https://www.prozis.com/es/es/prozis/bcaa-211-300-g
