nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url
BCAA'S INSTANTÁNEO 2:1:1 2.0 150g,,BCAA,4.58,0.15,30.53,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/c/bcaas-2-1-1-hsn_1.jpg,2026-05-08,,5.0,100.0,False,['SIN SABOR'],4.65,355.0,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0
Recovery Total 700g,Vitobest,BCAA,23.94,0.7,34.2,Nutritienda,https://www.nutritienda.com/es/vitobest/recovery-total-700g,https://nutritienda-cdn.sirv.com/catalog/big/w/110969-vitobest-recovery-total-700g.jpg?scale.width=170,2026-05-06,14.22,50.0,14.0,,"['Cola', 'Sandía', 'Vainilla']",4.78,1.0,https://www.nutritienda.com/es/vitobest/recovery-total-700g
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,https://nutritienda-cdn.sirv.com/catalog/big/x/117521-226ers-high-energy-gel-bcaa-76g.jpg?scale.width=170,2026-05-06,1.0,,,,['Blackcurrant'],4.69,1.0,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,https://nutritienda-cdn.sirv.com/catalog/big/45657-amazin-foods-bcaa-s-glutamina-400g.jpg?scale.width=170,2026-05-06,,12.0,33.0,,"['Cola', 'Naranja', 'Frutas del Bosque', 'Piña Colada', 'Limón']",4.68,92.0,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g
Zero BCAA 300 g,,BCAA,15.9,0.3,53.0,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1475406_prozis_zero-bcaa-300-g_green-apple_flavor_21.png,2026-05-08,,,,,,,,
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,26.5,0.5,53.0,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,https://nutritienda-cdn.sirv.com/catalog/big/bk/184488-quamtrax-direct-bcaa-glutamine-500g.jpg?scale.width=170,2026-05-06,,10.0,50.0,,"['Cola', 'Cereza', 'Piña Colada']",,,
BCAA+GLUTAMINE 500g,Ramificados,BCAA,27.0,0.5,54.0,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,https://nutritienda-cdn.sirv.com/catalog/big/t/95964-best-protein-bcaa-glutamine-6-1-1-500g-v2.jpg?scale.width=170,2026-05-06,13.88,15.0,33.0,,"['Naranja', 'Limón', 'Sandía']",4.82,2.0,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,28.05,0.5,56.1,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,https://nutritienda-cdn.sirv.com/catalog/big/x/116588-mega-plus-bcaa-glutamine-concept-500g.jpg?scale.width=170,2026-05-06,,10.0,50.0,,"['Limón', 'Piña', 'Tropical']",4.71,1.0,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g
BCAA 2:1:1 300 g,,BCAA,16.99,0.3,56.63,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1470643_prozis_bcaa-211-300-g_1.png,2026-05-08,,,,,,,,
PREMIUM BCAA ZERO 8:1:1 + L-GLUTAMINA 500g,Weider,BCAA,28.48,0.5,56.96,Nutritienda,https://www.nutritienda.com/es/weider/premium-bcaa-zero-811-l-glutamina-500g,https://nutritienda-cdn.sirv.com/catalog/big/89536-weider-premium-bcaa-zero-8-1-1-l-glutamina-500g.jpg?scale.width=170,2026-05-06,9.2,10.0,50.0,,['Raspberry'],4.71,5.0,https://www.nutritienda.com/es/weider/premium-bcaa-zero-811-l-glutamina-500g
BCAA 2:1:1 500g,Life Pro Nutrition,BCAA,28.9,0.5,57.8,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/bcaa-2-1-1-500g,https://nutritienda-cdn.sirv.com/catalog/big/bc/142819-life-pro-nutrition-bcaa-2-1-1-500g.jpg?scale.width=170,2026-05-06,,7.5,66.0,,"['Limón', 'Sandía', 'Piruleta', 'Cola']",,,
